# runner=cc fixture=fixtures/local/shorthand.stylebench
# TIME_MS=0.005000114440917969 TIME_MUT_MS=0.0 elements=14 TIME_LEVELS=0.0 TIME_SHARE=0.002000093460083008 TIME_MATCH=0.002000093460083008 TIME_INHERIT=0.0 LAST_MATCH=0.002000093460083008 LAST_SHARE=0.002000093460083008 LAST_INHERIT=0.0 LAST_DIRTY=0 SUM_DIRTY=0 WORKERS=10/10 MUT_SIG=0.0 MUT_CANON=0.0 MUT_MATCH=0.0 MUT_COPY=0.0 MUT_INHERIT=0.0 canons=14 depth=1 rules=17 univ=1
0	div	id=testroot	disp=block	pos=static	w=auto	h=auto	minw=auto	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,0,0
1	span	id=hex	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=204,0,0,255
2	span	id=rgbv	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,255,0,255
3	span	id=cc	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(0, 0, 255)	bg=0,0,255,255
4	span	id=reset	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,0,0
5	span	id=after	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,255,255
6	span	id=same	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,0,0
7	span	id=same2	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=204,0,0,255
8	span	id=mix	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,255,0,255
9	span	id=rgbmix	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,255,255
10	span	id=onlynone	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,0,0
11	span	id=trans	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,0,0
12	span	id=impi	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=204,0,0,255
13	span	id=attr	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,255,255
